Ontology - all subclasses of class from New SmartTable with Bacteria 	Matches	Object ID	Common-Name
TAX-1771	TAX-2	TAX-1771	Mycolicibacterium phlei
TAX-931627	TAX-2	TAX-931627	Mycolicibacterium rhodesiae
TAX-36814	TAX-2	TAX-36814	Mycolicibacterium rhodesiae
TAX-1772	TAX-2	TAX-1772	Mycolicibacterium smegmatis
TAX-246196	TAX-2	TAX-246196	Mycolicibacterium smegmatis
TAX-1797	TAX-2	TAX-1797	Mycolicibacterium thermoresistibile
TAX-1810	TAX-2	TAX-1810	Mycolicibacterium vaccae
TAX-110539	TAX-2	TAX-110539	Mycolicibacterium vanbaalenii
TAX-13159	TAX-2	TAX-13159	Mycoplana
TAX-40837	TAX-2	TAX-40837	Mycoplana ramosa
TAX-2093	TAX-2	TAX-2093	Mycoplasma
TAX-2096	TAX-2	TAX-2096	Mycoplasma gallisepticum
TAX-2097	TAX-2	TAX-2097	Mycoplasma genitalium
TAX-272634	TAX-2	TAX-272634	Mycoplasma pneumoniae
TAX-2104	TAX-2	TAX-2104	Mycoplasma pneumoniae
TAX-2092	TAX-2	TAX-2092	Mycoplasmataceae
TAX-2085	TAX-2	TAX-2085	Mycoplasmatales
TAX-2790996	TAX-2	TAX-2790996	Mycoplasmoidales
TAX-2767358	TAX-2	TAX-2767358	Mycoplasmopsis
TAX-2115	TAX-2	TAX-2115	Mycoplasmopsis fermentans
TAX-76831	TAX-2	TAX-76831	Myroides
TAX-480520	TAX-2	TAX-480520	Myroides profundi
TAX-31	TAX-2	TAX-31	Myxococcaceae
TAX-29	TAX-2	TAX-29	Myxococcales
TAX-83463	TAX-2	TAX-83463	Myxococcales incertae sedis
TAX-32	TAX-2	TAX-32	Myxococcus
TAX-33	TAX-2	TAX-33	Myxococcus fulvus
TAX-34	TAX-2	TAX-34	Myxococcus xanthus
TAX-224463	TAX-2	TAX-224463	Nannocystaceae
TAX-224462	TAX-2	TAX-224462	Nannocystineae
TAX-53	TAX-2	TAX-53	Nannocystis
TAX-54	TAX-2	TAX-54	Nannocystis exedens
TAX-485255	TAX-2	TAX-485255	Natranaerobiaceae
TAX-485256	TAX-2	TAX-485256	Natranaerobiales
TAX-375928	TAX-2	TAX-375928	Natranaerobius
TAX-375929	TAX-2	TAX-375929	Natranaerobius thermophilus
TAX-235899	TAX-2	TAX-235899	Nautiliales
TAX-909932	TAX-2	TAX-909932	Negativicutes
TAX-482	TAX-2	TAX-482	Neisseria
TAX-242231	TAX-2	TAX-242231	Neisseria gonorrhoeae
TAX-528354	TAX-2	TAX-528354	Neisseria gonorrhoeae
TAX-485	TAX-2	TAX-485	Neisseria gonorrhoeae
TAX-122587	TAX-2	TAX-122587	Neisseria meningitidis
TAX-122586	TAX-2	TAX-122586	Neisseria meningitidis
ORG-57076	TAX-2	ORG-57076	Neisseria meningitidis
TAX-487	TAX-2	TAX-487	Neisseria meningitidis
TAX-65699	TAX-2	TAX-65699	Neisseria meningitidis serogroup A
TAX-491	TAX-2	TAX-491	Neisseria meningitidis serogroup B
TAX-481	TAX-2	TAX-481	Neisseriaceae
TAX-206351	TAX-2	TAX-206351	Neisseriales
TAX-2675232	TAX-2	TAX-2675232	Neobacillus
TAX-220685	TAX-2	TAX-220685	Neobacillus bataviensis
TAX-86668	TAX-2	TAX-86668	Neobacillus niacini
TAX-1525371	TAX-2	TAX-1525371	Neorhizobium
TAX-399	TAX-2	TAX-399	Neorhizobium galegae
TAX-459520	TAX-2	TAX-459520	Neptuniibacter
TAX-207954	TAX-2	TAX-207954	Neptuniibacter caesariensis
TAX-197651	TAX-2	TAX-197651	Neptuniibacter sp. CAR-SF
TAX-57494	TAX-2	TAX-57494	Nesterenkonia
TAX-37922	TAX-2	TAX-37922	Nesterenkonia halobia
TAX-1775403	TAX-2	TAX-1775403	Nevskiales
TAX-2837506	TAX-2	TAX-2837506	Niallia
TAX-1397	TAX-2	TAX-1397	Niallia circulans
TAX-115979	TAX-2	TAX-115979	Niallia nealsonii
TAX-269258	TAX-2	TAX-269258	Nitratiruptor
TAX-387092	TAX-2	TAX-387092	Nitratiruptor sp. SB155-2
TAX-2795691	TAX-2	TAX-2795691	Nitratiruptoraceae
TAX-911	TAX-2	TAX-911	Nitrobacter
TAX-93980	TAX-2	TAX-93980	Nitrobacter alkalicus
TAX-912	TAX-2	TAX-912	Nitrobacter hamburgensis
TAX-29421	TAX-2	TAX-29421	Nitrobacter vulgaris
TAX-323098	TAX-2	TAX-323098	Nitrobacter winogradskyi
TAX-913	TAX-2	TAX-913	Nitrobacter winogradskyi
TAX-41294	TAX-2	TAX-41294	Nitrobacteraceae
TAX-35796	TAX-2	TAX-35796	Nitrococcus
TAX-1227	TAX-2	TAX-1227	Nitrosococcus
TAX-1229	TAX-2	TAX-1229	Nitrosococcus oceani
TAX-206379	TAX-2	TAX-206379	Nitrosomonadaceae
TAX-32003	TAX-2	TAX-32003	Nitrosomonadales
TAX-914	TAX-2	TAX-914	Nitrosomonas
TAX-44575	TAX-2	TAX-44575	Nitrosomonas cryotolerans
TAX-228410	TAX-2	TAX-228410	Nitrosomonas europaea
TAX-915	TAX-2	TAX-915	Nitrosomonas europaea
TAX-916	TAX-2	TAX-916	Nitrosomonas eutropha
TAX-153948	TAX-2	TAX-153948	Nitrosomonas sp. AL212
TAX-35798	TAX-2	TAX-35798	Nitrosospira
TAX-35799	TAX-2	TAX-35799	Nitrosospira briensis
TAX-1231	TAX-2	TAX-1231	Nitrosospira multiformis
TAX-323848	TAX-2	TAX-323848	Nitrosospira multiformis
TAX-71281	TAX-2	TAX-71281	Nitrosospira tenuis
TAX-35800	TAX-2	TAX-35800	Nitrospina
TAX-407032	TAX-2	TAX-407032	Nitrospinaceae
TAX-1293497	TAX-2	TAX-1293497	Nitrospinae
TAX-1802340	TAX-2	TAX-1802340	Nitrospinae/Tectomicrobia group
TAX-1293499	TAX-2	TAX-1293499	Nitrospinales
TAX-1293498	TAX-2	TAX-1293498	Nitrospinia
TAX-203693	TAX-2	TAX-203693	Nitrospira <class>
TAX-1234	TAX-2	TAX-1234	Nitrospira <genus>
TAX-42253	TAX-2	TAX-42253	Nitrospira moscoviensis
TAX-189779	TAX-2	TAX-189779	Nitrospiraceae
TAX-40117	TAX-2	TAX-40117	Nitrospirae
TAX-2026887	TAX-2	TAX-2026887	Nitrospirae bacterium
TAX-189778	TAX-2	TAX-189778	Nitrospirales
TAX-1817	TAX-2	TAX-1817	Nocardia
TAX-1824	TAX-2	TAX-1824	Nocardia asteroides
TAX-37326	TAX-2	TAX-37326	Nocardia brasiliensis
TAX-1538463	TAX-2	TAX-1538463	Nocardia donostiensis
TAX-37329	TAX-2	TAX-37329	Nocardia farcinica
TAX-1818	TAX-2	TAX-1818	Nocardia globerula
TAX-204891	TAX-2	TAX-204891	Nocardia iowensis
ORG-5922	TAX-2	ORG-5922	Nocardia sp.
ORG-5921	TAX-2	ORG-5921	Nocardia sp. M117
ORG-6298	TAX-2	ORG-6298	Nocardia sp. strain A60
TAX-37333	TAX-2	TAX-37333	Nocardia transvalensis
TAX-53432	TAX-2	TAX-53432	Nocardia uniformis
TAX-96045	TAX-2	TAX-96045	Nocardia uniformis
TAX-1822	TAX-2	TAX-1822	Nocardia vaccinii
TAX-85025	TAX-2	TAX-85025	Nocardiaceae
TAX-85015	TAX-2	TAX-85015	Nocardioidaceae
TAX-1839	TAX-2	TAX-1839	Nocardioides
ORG-6275	TAX-2	ORG-6275	Nocardioides simplex
TAX-134561	TAX-2	TAX-134561	Nocardioides sp. C190
ORG-6274	TAX-2	ORG-6274	Nocardioides sp. CB 22-2
TAX-1517491	TAX-2	TAX-1517491	Nocardioides sp. JS1661
TAX-196162	TAX-2	TAX-196162	Nocardioides sp. JS614
TAX-213071	TAX-2	TAX-213071	Nocardioides sp. SP12
TAX-83676	TAX-2	TAX-83676	Nocardiopsaceae
TAX-2013	TAX-2	TAX-2013	Nocardiopsis
TAX-2014	TAX-2	TAX-2014	Nocardiopsis dassonvillei
ORG-6119	TAX-2	ORG-6119	Nocardiopsis sp. K-290
TAX-1120752	TAX-2	TAX-1120752	Nodosilinea
TAX-363408	TAX-2	TAX-363408	Nonlabens
TAX-906888	TAX-2	TAX-906888	Nonlabens ulvanivorans
TAX-83681	TAX-2	TAX-83681	Nonomuraea
TAX-83682	TAX-2	TAX-83682	Nonomuraea longicatena
TAX-1177	TAX-2	TAX-1177	Nostoc
TAX-1178	TAX-2	TAX-1178	Nostoc commune
TAX-63737	TAX-2	TAX-63737	Nostoc punctiforme
TAX-272131	TAX-2	TAX-272131	Nostoc punctiforme
TAX-261476	TAX-2	TAX-261476	Nostoc sp. 36
TAX-103690	TAX-2	TAX-103690	Nostoc sp. PCC 7120 = FACHB-418
TAX-1162	TAX-2	TAX-1162	Nostocaceae
TAX-1161	TAX-2	TAX-1161	Nostocales
TAX-660514	TAX-2	TAX-660514	Novispirillum
TAX-189	TAX-2	TAX-189	Novispirillum itersonii
TAX-165696	TAX-2	TAX-165696	Novosphingobium
TAX-279238	TAX-2	TAX-279238	Novosphingobium aromaticivorans
TAX-48935	TAX-2	TAX-48935	Novosphingobium aromaticivorans
TAX-1478134	TAX-2	TAX-1478134	Novosphingobium sp. KN65.2
TAX-129577	TAX-2	TAX-129577	Oceanimonas
TAX-84158	TAX-2	TAX-84158	Oceanimonas doudoroffii
TAX-182709	TAX-2	TAX-182709	Oceanobacillus
TAX-221109	TAX-2	TAX-221109	Oceanobacillus iheyensis
TAX-182710	TAX-2	TAX-182710	Oceanobacillus iheyensis
TAX-135620	TAX-2	TAX-135620	Oceanospirillaceae
TAX-135619	TAX-2	TAX-135619	Oceanospirillales
TAX-528	TAX-2	TAX-528	Ochrobactrum
ORG-6332	TAX-2	ORG-6332	Ochrobactrum anthropi
TAX-1437448	TAX-2	TAX-1437448	Ochrobactrum rhizosphaerae
TAX-694258	TAX-2	TAX-694258	Ochrobactrum sp. G-1
TAX-1183050	TAX-2	TAX-1183050	Ochrobactrum sp. JAS2
TAX-223963	TAX-2	TAX-223963	Ochrobactrum sp. SP18
TAX-283168	TAX-2	TAX-283168	Odoribacter
TAX-28118	TAX-2	TAX-28118	Odoribacter splanchnicus
TAX-1853231	TAX-2	TAX-1853231	Odoribacteraceae
TAX-46254	TAX-2	TAX-46254	Oenococcus
TAX-1247	TAX-2	TAX-1247	Oenococcus oeni
TAX-162491	TAX-2	TAX-162491	Oerskovia
TAX-1713	TAX-2	TAX-1713	Oerskovia turbata
TAX-2909705	TAX-2	TAX-2909705	Oleidesulfovibrio
TAX-207559	TAX-2	TAX-207559	Oleidesulfovibrio alaskensis
TAX-58180	TAX-2	TAX-58180	Oleidesulfovibrio alaskensis
TAX-217063	TAX-2	TAX-217063	Oleomonas
TAX-89018	TAX-2	TAX-89018	Oleomonas sagaranensis
TAX-1553900	TAX-2	TAX-1553900	Oligoflexia
TAX-133925	TAX-2	TAX-133925	Olsenella
TAX-133926	TAX-2	TAX-133926	Olsenella uli
TAX-1233498	TAX-2	TAX-1233498	OM43 clade
TAX-414999	TAX-2	TAX-414999	Opitutae
TAX-1158	TAX-2	TAX-1158	Oscillatoria
TAX-587415	TAX-2	TAX-587415	Oscillatoria sp. PCC 7926
TAX-1892254	TAX-2	TAX-1892254	Oscillatoriaceae
TAX-1150	TAX-2	TAX-1150	Oscillatoriales
TAX-1892256	TAX-2	TAX-1892256	Oscillatoriales incertae sedis
TAX-1301283	TAX-2	TAX-1301283	Oscillatoriophycideae
TAX-216572	TAX-2	TAX-216572	Oscillospiraceae
TAX-552397	TAX-2	TAX-552397	Oscillospiraceae incertae sedis
TAX-846	TAX-2	TAX-846	Oxalobacter
TAX-847	TAX-2	TAX-847	Oxalobacter formigenes
TAX-75682	TAX-2	TAX-75682	Oxalobacteraceae
TAX-143687	TAX-2	TAX-143687	Paederus sabaeus endosymbiont
TAX-1742992	TAX-2	TAX-1742992	Paenarthrobacter
TAX-290340	TAX-2	TAX-290340	Paenarthrobacter aurescens
TAX-43663	TAX-2	TAX-43663	Paenarthrobacter aurescens
TAX-43665	TAX-2	TAX-43665	Paenarthrobacter ilicis
TAX-29320	TAX-2	TAX-29320	Paenarthrobacter nicotinovorans
TAX-37931	TAX-2	TAX-37931	Paenarthrobacter ureafaciens
TAX-186822	TAX-2	TAX-186822	Paenibacillaceae
TAX-44249	TAX-2	TAX-44249	Paenibacillus
TAX-44250	TAX-2	TAX-44250	Paenibacillus alvei
TAX-160799	TAX-2	TAX-160799	Paenibacillus borealis
ORG-6251	TAX-2	ORG-6251	Paenibacillus kobensis
TAX-59841	TAX-2	TAX-59841	Paenibacillus kobensis
TAX-44252	TAX-2	TAX-44252	Paenibacillus macerans
ORG-6250	TAX-2	ORG-6250	Paenibacillus polymyxa
TAX-349520	TAX-2	TAX-349520	Paenibacillus polymyxa
TAX-886882	TAX-2	TAX-886882	Paenibacillus polymyxa
TAX-1406	TAX-2	TAX-1406	Paenibacillus polymyxa
TAX-78057	TAX-2	TAX-78057	Paenibacillus popilliae
TAX-107035	TAX-2	TAX-107035	Paenibacillus sp. A11-2
TAX-649508	TAX-2	TAX-649508	Paenibacillus sp. JJ-1b
TAX-159743	TAX-2	TAX-159743	Paenibacillus terrae
TAX-49283	TAX-2	TAX-49283	Paenibacillus thiaminolyticus
TAX-93217	TAX-2	TAX-93217	Pandoraea
TAX-93220	TAX-2	TAX-93220	Pandoraea pnomenusa
TAX-53335	TAX-2	TAX-53335	Pantoea
TAX-1261128	TAX-2	TAX-1261128	Pantoea agglomerans
TAX-48984	TAX-2	TAX-48984	Pantoea agglomerans
TAX-549	TAX-2	TAX-549	Pantoea agglomerans
TAX-1654067	TAX-2	TAX-1654067	Pantoea agglomerans group
TAX-553	TAX-2	TAX-553	Pantoea ananatis
TAX-55209	TAX-2	TAX-55209	Pantoea cypripedii
TAX-66269	TAX-2	TAX-66269	Pantoea stewartii
TAX-66271	TAX-2	TAX-66271	Pantoea stewartii
TAX-375288	TAX-2	TAX-375288	Parabacteroides
TAX-435591	TAX-2	TAX-435591	Parabacteroides distasonis
TAX-823	TAX-2	TAX-823	Parabacteroides distasonis
TAX-328812	TAX-2	TAX-328812	Parabacteroides goldsteinii
TAX-1262913	TAX-2	TAX-1262913	Parabacteroides sp. CAG:409
TAX-1822464	TAX-2	TAX-1822464	Paraburkholderia
TAX-1912599	TAX-2	TAX-1912599	Paraburkholderia acidicola
TAX-420952	TAX-2	TAX-420952	Paraburkholderia bryophila
TAX-134536	TAX-2	TAX-134536	Paraburkholderia caledonica
TAX-60548	TAX-2	TAX-60548	Paraburkholderia graminis
TAX-396598	TAX-2	TAX-396598	Paraburkholderia graminis
TAX-252970	TAX-2	TAX-252970	Paraburkholderia phenoliruptrix
TAX-148447	TAX-2	TAX-148447	Paraburkholderia phymatum
TAX-261302	TAX-2	TAX-261302	Paraburkholderia phytofirmans
TAX-398527	TAX-2	TAX-398527	Paraburkholderia phytofirmans
TAX-159450	TAX-2	TAX-159450	Paraburkholderia sacchari
TAX-311230	TAX-2	TAX-311230	Paraburkholderia terrae
TAX-36873	TAX-2	TAX-36873	Paraburkholderia xenovorans
TAX-266265	TAX-2	TAX-266265	Paraburkholderia xenovorans
TAX-1849822	TAX-2	TAX-1849822	Paraclostridium
TAX-1490	TAX-2	TAX-1490	Paraclostridium bifermentans
TAX-265	TAX-2	TAX-265	Paracoccus <a-proteobacteria>
ORG-6166	TAX-2	ORG-6166	Paracoccus denitrificans
TAX-318586	TAX-2	TAX-318586	Paracoccus denitrificans
ORG-5923	TAX-2	ORG-5923	Paracoccus denitrificans
ORG-6165	TAX-2	ORG-6165	Paracoccus denitrificans
TAX-266	TAX-2	TAX-266	Paracoccus denitrificans
TAX-1197861	TAX-2	TAX-1197861	Paracoccus laeviglucosivorans
TAX-82367	TAX-2	TAX-82367	Paracoccus pantotrophus
ORG-6160	TAX-2	ORG-6160	Paracoccus pantotrophus NKNCYSA
TAX-911638	TAX-2	TAX-911638	Paracoccus sp. FLY-8
TAX-412597	TAX-2	TAX-412597	Paracoccus sp. TRP
TAX-136097	TAX-2	TAX-136097	Paracoccus thiophilus
TAX-34007	TAX-2	TAX-34007	Paracoccus versutus
TAX-147645	TAX-2	TAX-147645	Paracoccus yeei
TAX-651554	TAX-2	TAX-651554	Paraeggerthella
TAX-230658	TAX-2	TAX-230658	Paraeggerthella hongkongensis
TAX-1906945	TAX-2	TAX-1906945	Parageobacillus
TAX-1426	TAX-2	TAX-1426	Parageobacillus thermoglucosidasius
TAX-577309	TAX-2	TAX-577309	Paraprevotella
TAX-454154	TAX-2	TAX-454154	Paraprevotella clara
TAX-454155	TAX-2	TAX-454155	Paraprevotella xylaniphila
TAX-2881427	TAX-2	TAX-2881427	Parasynechococcus
TAX-84588	TAX-2	TAX-84588	Parasynechococcus marenigrum
TAX-2881428	TAX-2	TAX-2881428	Parasynechococcus marenigrum
TAX-1427376	TAX-2	TAX-1427376	Parvibacter
TAX-747645	TAX-2	TAX-747645	Parvibacter caecicola
TAX-2813035	TAX-2	TAX-2813035	Parvibaculaceae
TAX-256616	TAX-2	TAX-256616	Parvibaculum
TAX-402881	TAX-2	TAX-402881	Parvibaculum lavamentivorans
TAX-256618	TAX-2	TAX-256618	Parvibaculum lavamentivorans
TAX-745	TAX-2	TAX-745	Pasteurella
TAX-747	TAX-2	TAX-747	Pasteurella multocida
ORG-5924	TAX-2	ORG-5924	Pasteurella tuberculosis
TAX-712	TAX-2	TAX-712	Pasteurellaceae
TAX-135625	TAX-2	TAX-135625	Pasteurellales
TAX-157932	TAX-2	TAX-157932	Paucimonas
TAX-29443	TAX-2	TAX-29443	Paucimonas lemoignei
TAX-864	TAX-2	TAX-864	Pectinatus
TAX-865	TAX-2	TAX-865	Pectinatus frisingensis
TAX-1903410	TAX-2	TAX-1903410	Pectobacteriaceae
TAX-122277	TAX-2	TAX-122277	Pectobacterium
TAX-218491	TAX-2	TAX-218491	Pectobacterium atrosepticum
TAX-29471	TAX-2	TAX-29471	Pectobacterium atrosepticum
TAX-558270	TAX-2	TAX-558270	Pectobacterium carotovorum
TAX-555	TAX-2	TAX-555	Pectobacterium carotovorum
TAX-554	TAX-2	TAX-554	Pectobacterium carotovorum
TAX-1253	TAX-2	TAX-1253	Pediococcus
TAX-1254	TAX-2	TAX-1254	Pediococcus acidilactici
TAX-1670797	TAX-2	TAX-1670797	Pediococcus acidilactici group
TAX-51663	TAX-2	TAX-51663	Pediococcus damnosus
TAX-54062	TAX-2	TAX-54062	Pediococcus parvulus
TAX-1255	TAX-2	TAX-1255	Pediococcus pentosaceus
TAX-84567	TAX-2	TAX-84567	Pedobacter
TAX-984	TAX-2	TAX-984	Pedobacter heparinus
TAX-47494	TAX-2	TAX-47494	Pedomicrobium
TAX-338054	TAX-2	TAX-338054	Pedomicrobium sp. ACM 3067
TAX-1655514	TAX-2	TAX-1655514	Pelagibacteraceae
TAX-54526	TAX-2	TAX-54526	Pelagibacterales
TAX-18	TAX-2	TAX-18	Pelobacter
TAX-29543	TAX-2	TAX-29543	Pelobacter propionicus
TAX-1099	TAX-2	TAX-1099	Pelodictyon
TAX-34090	TAX-2	TAX-34090	Pelodictyon phaeoclathratiforme
TAX-335058	TAX-2	TAX-335058	Pelomonas
TAX-304	TAX-2	TAX-304	Pelomonas saccharophila
TAX-365348	TAX-2	TAX-365348	Pelosinus
TAX-1122947	TAX-2	TAX-1122947	Pelosinus fermentans
TAX-365349	TAX-2	TAX-365349	Pelosinus fermentans
TAX-191373	TAX-2	TAX-191373	Pelotomaculum
TAX-1481960	TAX-2	TAX-1481960	Peptoclostridium
TAX-1731	TAX-2	TAX-1731	Peptoclostridium acidaminophilum
TAX-1557	TAX-2	TAX-1557	Peptoclostridium litorale
TAX-186807	TAX-2	TAX-186807	Peptococcaceae
TAX-1570339	TAX-2	TAX-1570339	Peptoniphilaceae
TAX-162289	TAX-2	TAX-162289	Peptoniphilus
TAX-1258	TAX-2	TAX-1258	Peptoniphilus asaccharolyticus
TAX-186804	TAX-2	TAX-186804	Peptostreptococcaceae
TAX-1257	TAX-2	TAX-1257	Peptostreptococcus
TAX-2675229	TAX-2	TAX-2675229	Peribacillus
TAX-1407	TAX-2	TAX-1407	Peribacillus psychrosaccharolyticus
TAX-182899	TAX-2	TAX-182899	Persephonella
TAX-309805	TAX-2	TAX-309805	Persephonella marina
TAX-28236	TAX-2	TAX-28236	Petrotoga
TAX-28237	TAX-2	TAX-28237	Petrotoga miotherma
TAX-69499	TAX-2	TAX-69499	Petrotoga mobilis
TAX-1643949	TAX-2	TAX-1643949	Petrotogaceae
TAX-1643947	TAX-2	TAX-1643947	Petrotogales
TAX-302485	TAX-2	TAX-302485	Phaeobacter
TAX-383629	TAX-2	TAX-383629	Phaeobacter inhibens
TAX-221822	TAX-2	TAX-221822	Phaeobacter inhibens
TAX-909656	TAX-2	TAX-909656	Phocaeicola
TAX-376805	TAX-2	TAX-376805	Phocaeicola salanitronis
TAX-821	TAX-2	TAX-821	Phocaeicola vulgatus
TAX-435590	TAX-2	TAX-435590	Phocaeicola vulgatus
TAX-1198	TAX-2	TAX-1198	Phormidium
TAX-32060	TAX-2	TAX-32060	Phormidium lapideum
TAX-657	TAX-2	TAX-657	Photobacterium
TAX-661	TAX-2	TAX-661	Photobacterium angustum
TAX-314292	TAX-2	TAX-314292	Photobacterium angustum
TAX-754436	TAX-2	TAX-754436	Photobacterium aphoticum
TAX-38293	TAX-2	TAX-38293	Photobacterium damselae
TAX-265726	TAX-2	TAX-265726	Photobacterium halotolerans
TAX-553611	TAX-2	TAX-553611	Photobacterium leiognathi
TAX-658	TAX-2	TAX-658	Photobacterium leiognathi
TAX-659	TAX-2	TAX-659	Photobacterium phosphoreum
TAX-298386	TAX-2	TAX-298386	Photobacterium profundum
TAX-74109	TAX-2	TAX-74109	Photobacterium profundum
TAX-121723	TAX-2	TAX-121723	Photobacterium sp. SKA34
TAX-29487	TAX-2	TAX-29487	Photorhabdus
TAX-1004150	TAX-2	TAX-1004150	Photorhabdus khanii
TAX-243265	TAX-2	TAX-243265	Photorhabdus laumondii
TAX-141679	TAX-2	TAX-141679	Photorhabdus laumondii
TAX-2218628	TAX-2	TAX-2218628	Photorhabdus laumondii
TAX-29488	TAX-2	TAX-29488	Photorhabdus luminescens
TAX-69277	TAX-2	TAX-69277	Phyllobacteriaceae
TAX-28100	TAX-2	TAX-28100	Phyllobacterium
TAX-300193	TAX-2	TAX-300193	Phyllobacterium trifolii
TAX-152267	TAX-2	TAX-152267	Pigmentiphaga
TAX-1481731	TAX-2	TAX-1481731	Pigmentiphaga sp. DL-8
TAX-2044	TAX-2	TAX-2044	Pimelobacter
TAX-2045	TAX-2	TAX-2045	Pimelobacter simplex
ORG-5925	TAX-2	ORG-5925	Pimelobacter sp.
TAX-2691357	TAX-2	TAX-2691357	Pirellulaceae
TAX-2691354	TAX-2	TAX-2691354	Pirellulales
TAX-135616	TAX-2	TAX-135616	Piscirickettsiaceae
TAX-126	TAX-2	TAX-126	Planctomycetaceae
TAX-112	TAX-2	TAX-112	Planctomycetales
TAX-203682	TAX-2	TAX-203682	Planctomycetes <Planctomycetes>
TAX-203683	TAX-2	TAX-203683	Planctomycetia
TAX-186818	TAX-2	TAX-186818	Planococcaceae
TAX-1372	TAX-2	TAX-1372	Planococcus <firmicutes>
TAX-161360	TAX-2	TAX-161360	Planococcus antarcticus
TAX-1373	TAX-2	TAX-1373	Planococcus citreus
TAX-192421	TAX-2	TAX-192421	Planococcus maritimus
TAX-191767	TAX-2	TAX-191767	Plesiocystis
TAX-191768	TAX-2	TAX-191768	Plesiocystis pacifica
TAX-702	TAX-2	TAX-702	Plesiomonas
TAX-703	TAX-2	TAX-703	Plesiomonas shigelloides
TAX-153154	TAX-2	TAX-153154	Plesiomonas sp. M6
ORG-6003	TAX-2	ORG-6003	Plesiomonas sp. Yoshida 95
TAX-44474	TAX-2	TAX-44474	Pleurocapsa
TAX-118161	TAX-2	TAX-118161	Pleurocapsa sp. PCC 7319
TAX-52604	TAX-2	TAX-52604	Pleurocapsales
TAX-52959	TAX-2	TAX-52959	Polaribacter
TAX-53483	TAX-2	TAX-53483	Polaribacter filamentus
TAX-313594	TAX-2	TAX-313594	Polaribacter irgensii
TAX-531	TAX-2	TAX-531	Polaribacter irgensii
TAX-52972	TAX-2	TAX-52972	Polaromonas
TAX-296591	TAX-2	TAX-296591	Polaromonas sp. JS666
TAX-49	TAX-2	TAX-49	Polyangiaceae
TAX-171551	TAX-2	TAX-171551	Porphyromonadaceae
TAX-836	TAX-2	TAX-836	Porphyromonas
TAX-28123	TAX-2	TAX-28123	Porphyromonas asaccharolytica
TAX-1403335	TAX-2	TAX-1403335	Porphyromonas gingivalis
TAX-242619	TAX-2	TAX-242619	Porphyromonas gingivalis
TAX-431947	TAX-2	TAX-431947	Porphyromonas gingivalis
TAX-1125722	TAX-2	TAX-1125722	Porphyromonas gingivalis
TAX-837	TAX-2	TAX-837	Porphyromonas gingivalis
TAX-28114	TAX-2	TAX-28114	Porphyromonas levii
TAX-1706374	TAX-2	TAX-1706374	Porticoccaceae
TAX-1434033	TAX-2	TAX-1434033	Postechiella
TAX-943941	TAX-2	TAX-943941	Postechiella marina
TAX-142577	TAX-2	TAX-142577	Prauserella
TAX-43354	TAX-2	TAX-43354	Prauserella rugosa
TAX-838	TAX-2	TAX-838	Prevotella
TAX-28125	TAX-2	TAX-28125	Prevotella bivia
TAX-83231	TAX-2	TAX-83231	Prevotella brevis
TAX-52227	TAX-2	TAX-52227	Prevotella dentalis
TAX-28129	TAX-2	TAX-28129	Prevotella denticola
TAX-28131	TAX-2	TAX-28131	Prevotella intermedia
TAX-553174	TAX-2	TAX-553174	Prevotella melaninogenica
TAX-28132	TAX-2	TAX-28132	Prevotella melaninogenica
TAX-28134	TAX-2	TAX-28134	Prevotella oralis
TAX-185294	TAX-2	TAX-185294	Prevotella paludivivens
TAX-839	TAX-2	TAX-839	Prevotella ruminicola
TAX-171552	TAX-2	TAX-171552	Prevotellaceae
TAX-2800373	TAX-2	TAX-2800373	Priestia
TAX-412384	TAX-2	TAX-412384	Priestia aryabhattai
TAX-592022	TAX-2	TAX-592022	Priestia megaterium
TAX-1404	TAX-2	TAX-1404	Priestia megaterium
TAX-1213	TAX-2	TAX-1213	Prochloraceae
TAX-2881426	TAX-2	TAX-2881426	Prochlorococcaceae
TAX-1218	TAX-2	TAX-1218	Prochlorococcus
TAX-167539	TAX-2	TAX-167539	Prochlorococcus marinus
TAX-59919	TAX-2	TAX-59919	Prochlorococcus marinus
TAX-74547	TAX-2	TAX-74547	Prochlorococcus marinus
TAX-93059	TAX-2	TAX-93059	Prochlorococcus marinus
TAX-142479	TAX-2	TAX-142479	Prochlorococcus marinus
TAX-142554	TAX-2	TAX-142554	Prochlorococcus marinus
TAX-1219	TAX-2	TAX-1219	Prochlorococcus marinus
TAX-1214	TAX-2	TAX-1214	Prochloron
TAX-910454	TAX-2	TAX-910454	Prochloron didemni
TAX-1216	TAX-2	TAX-1216	Prochloron didemni
TAX-1222	TAX-2	TAX-1222	Prochlorothrix
TAX-2303730	TAX-2	TAX-2303730	Prochlorotrichaceae
TAX-1471398	TAX-2	TAX-1471398	Prolixibacteraceae
TAX-43676	TAX-2	TAX-43676	Promicromonospora
TAX-43677	TAX-2	TAX-43677	Promicromonospora citrea
TAX-85017	TAX-2	TAX-85017	Promicromonosporaceae
TAX-31957	TAX-2	TAX-31957	Propionibacteriaceae
TAX-85009	TAX-2	TAX-85009	Propionibacteriales
TAX-1743	TAX-2	TAX-1743	Propionibacterium
TAX-64702	TAX-2	TAX-64702	Propionibacterium cyclohexanicum
TAX-1752	TAX-2	TAX-1752	Propionibacterium freudenreichii
