Ontology - all subclasses of class from New SmartTable with Bacteria 	Matches	Object ID	Common-Name
TAX-358	TAX-2	TAX-358	Agrobacterium tumefaciens
TAX-1183400	TAX-2	TAX-1183400	Agrobacterium tumefaciens complex
TAX-33877	TAX-2	TAX-33877	Agromyces
TAX-41986	TAX-2	TAX-41986	Agromyces mediolanus
TAX-239934	TAX-2	TAX-239934	Akkermansia
TAX-239935	TAX-2	TAX-239935	Akkermansia muciniphila
TAX-1647988	TAX-2	TAX-1647988	Akkermansiaceae
TAX-506	TAX-2	TAX-506	Alcaligenaceae
TAX-507	TAX-2	TAX-507	Alcaligenes
TAX-1120962	TAX-2	TAX-1120962	Alcaligenes faecalis
ORG-6128	TAX-2	ORG-6128	Alcaligenes faecalis
TAX-232846	TAX-2	TAX-232846	Alcaligenes faecalis
TAX-511	TAX-2	TAX-511	Alcaligenes faecalis
ORG-6049	TAX-2	ORG-6049	Alcaligenes faecalis M3A
ORG-5861	TAX-2	ORG-5861	Alcaligenes sp.
ORG-6150	TAX-2	ORG-6150	Alcaligenes sp. CF8
TAX-108557	TAX-2	TAX-108557	Alcaligenes sp. O-1
TAX-413714	TAX-2	TAX-413714	Alcaligenes sp. PPH
ORG-6072	TAX-2	ORG-6072	Alcaligenes sp. strain A175
ORG-6062	TAX-2	ORG-6062	Alcaligenes sp. strain E1
ORG-6104	TAX-2	ORG-6104	Alcaligenes sp. strain L6
ORG-6073	TAX-2	ORG-6073	Alcaligenes sp. strain OBB65
TAX-118970	TAX-2	TAX-118970	Alcaligenes sp. XY-234
TAX-313363	TAX-2	TAX-313363	Alcaligenes viscolactis S-2
TAX-246875	TAX-2	TAX-246875	Algoriphagus
TAX-356796	TAX-2	TAX-356796	Algoriphagus sp. KK10202C
TAX-201096	TAX-2	TAX-201096	Alicycliphilus
TAX-179636	TAX-2	TAX-179636	Alicycliphilus denitrificans
TAX-186823	TAX-2	TAX-186823	Alicyclobacillaceae
TAX-29330	TAX-2	TAX-29330	Alicyclobacillus
TAX-521098	TAX-2	TAX-521098	Alicyclobacillus acidocaldarius
TAX-1388	TAX-2	TAX-1388	Alicyclobacillus acidocaldarius
TAX-405212	TAX-2	TAX-405212	Alicyclobacillus acidocaldarius
TAX-511678	TAX-2	TAX-511678	Aliivibrio
TAX-668	TAX-2	TAX-668	Aliivibrio fischeri
TAX-40269	TAX-2	TAX-40269	Aliivibrio salmonicida
TAX-316275	TAX-2	TAX-316275	Aliivibrio salmonicida
TAX-239759	TAX-2	TAX-239759	Alistipes
TAX-214856	TAX-2	TAX-214856	Alistipes finegoldii
TAX-2005375	TAX-2	TAX-2005375	Alkalicoccus
TAX-1548213	TAX-2	TAX-1548213	Alkalicoccus urumqiensis
TAX-2675234	TAX-2	TAX-2675234	Alkalihalobacillus
TAX-1445	TAX-2	TAX-1445	Alkalihalobacillus alcalophilus
TAX-66692	TAX-2	TAX-66692	Alkalihalobacillus clausii
TAX-79880	TAX-2	TAX-79880	Alkalihalobacillus clausii
