Pathways	Super-Pathways
PWY-6013	
PWY-5397	
PWY-5398	
PWY-7401	
PWY-8100	
PWY-7854	
PWY-6257	
PWY0-1527	
PWY-4421	
PWY-6432	
PWY-282	
PWY-321	
CYANCAT-PWY	
P401-PWY	
ASPSYNII-PWY	
PWY-7142	
PWY-7464	
PWY-7256	
PWY-7452	
PWY-7052	
PWY-8025	
PWY-5169	PWY-5724
PWY-8098	
PWY-8270	
PWY-8028	PWY-7156
PWY-7828	
PWY-8044	
PWY-301	
CYCLOHEXANOL-OXIDATION-PWY	
PWY-7482	
PWY0-541	
PWY-8045	
PWY-6626	
PWY-8163	
PWY-6476	
PWY-8165	
PWY-8147	
PWY-8146	
PWY-8145	
PWY-2902	
PWY-2881	
PWY-2901	
PWY-2841	
PWY-7268	PWY-7245
PWY0-44	
PWY-7862	
PWY-8091	
PWY-8090	
PWY-8092	
PWY-8089	
PWY-8093	
DARABCATK12-PWY	PWY-5257
DARABCAT-PWY	PWY-5257
PWY-5519	PWY-5257
DARABITOLUTIL-PWY	PWY-5257
PWY-6422	
PWY-7471	
PWY-7472	
PWY-7274	
PWY-8300	
PWY-7872	
PWY-7873	
PWY-7242	GLUCUROCAT-PWY
GALACTARDEG-PWY	PWY-6516 // GLUCARGALACTSUPER-PWY
PWY-6497	PWY-6516
GALACTCAT-PWY	
PWY-7395	
PWY-6317	
GALDEG-PWY	
PWY-6693	
PWY-3821	
GALACTUROCAT-PWY	PWY-6516 // GALACT-GLUCUROCAT-PWY
PWY-6486	PWY-6516
PWY-6491	PWY-6516
GLUCARDEG-PWY	PWY-6516 // GLUCARGALACTSUPER-PWY
PWY-6499	PWY-6516
GLUCONSUPER-PWY	
PWY-7310	
PWY-5525	
PWY-6501	PWY-6516
PWY0-1602	
PWY0-1565	
PWY0-1465	
MANNCAT-PWY	
PWY3O-1743	
PWY-6364	PWY-6358
PWY-6351	
PWY-6363	PWY-6358
PWY-6366	PWY-6371
PWY-6365	PWY-6371
PWY-6367	PWY-6371
PWY-8161	
PWY0-1535	PWY-6196
PWY-6196	
PWY-5054	
PWY-4101	
SORBDEG-PWY	HEXITOLDEGSUPER-PWY // P461-PWY
PWY-7786	
PWY-7871	
XYLCAT-PWY	PWY-5257 // PWY-6901
PWY-5516	PWY-5257
PWY-6760	PWY-5257
PWY-7294	PWY-5257
PWY-7178	
PWY-8020	
PWY-2343	
PWY-6996	
PWY-5821	
PWY-5825	
PWY-6095	
PWY-7706	
PWY-7055	
PWY-7056	
PWY-7352	
PWY-8084	
PWY-5631	PWY-5634
PWY18HP-2	
PWY-7655	
PWY-5726	
PWY3O-6	
PWY-5421	PWY-5416
PWY-6682	
PWY-6337	
PWY-7260	
PWY-6669	
PWY-7997	
PWY-5853	PWY-5860 // PWY-5850
PWY-7372	PWY-7373
PWY-5852	ALL-CHORISMATE-PWY // PWY-5861 // PWY-5838
PWY-6262	PWY-6263 // PWY-7992
PWY-5851	PWY-5862 // PWY-5845
PWY-7712	PWY-7715
PWY-6568	PWY-6571
PWY-6576	
PWY-7646	
PWY-7475	PWY-7476
PWY-6376	
PWY-6375	
PWY-6786	
PWY-861	
PWY-5976	
PWY-6664	
PWY-5785	POLYISOPRENSYN-PWY
TRIGLSYN-PWY	
PWY-6804	
PWY-6795	
PWY18C3-9	PWY18C3-12
PWY-7949	
PWY-7950	
P661-PWY	
P662-PWY	
PWY-681	
PWY-6949	PWY-4161
PWY-6603	
PWY-5491	
PWY-6032	
PWY-6302	
PWY-4441	
PWY-6950	PWY-4161
PWY-7793	
PWY-6047	PWY-6072
PWY-6059	
PWY-6058	PWY-6072
PWY-6050	PWY-6072
PWY-6057	
PWY-6054	
PWY-6055	
PWY-6053	
PWY-6046	
PWY-6056	
PWY-6052	PWY-6049
PWY-5368	
PWY-7744	
PWY-7743	
PWY-7912	
PWY-7747	
PWY-6532	
PWY-6482	
PWY-7546	
PWY-6820	
PWY-8088	
PWY-6098	
PWY-8159	
DISSULFRED-PWY	
PWY-2981	
PWY-5406	PWY-5433
PWY-5409	PWY-5433
PWY-7053	
PWY-7585	
PWY-7606	
PWY-7727	
PWY-5817	PWY-5898
PWY-7994	
PWY-6129	
PWY-8083	
PWY6666-2	
PWY-7355	
PWY-7442	
PWY-7318	PWY-7317
PWY-6953	PWY-7317
PWY-7301	PWY-7287
PWY-7413	
PWY-6808	PWY-7438
PWY-7414	
PWY-6973	PWY-7438
PWY-7688	
PWY-7312	PWY-7317
PWY-7440	
PWY-7657	
PWY-7439	
PWY-7104	PWY-7438 // PWY-7110
PWY-6976	PWY-7438 // PWY-7110 // PWY-6977
PWY-6974	PWY-7438
DTDPRHAMSYN-PWY	PWY-7317 // PWY-6404 // OANTIGEN-PWY
PWY-6942	PWY-7110 // PWY-6977
PWY-7814	
PWY-7315	PWY-8227 // PWY-7317
PWY-7316	PWY-7317
PWY66-385	
PWY-8289	
PWY-7300	
PWY-7321	
PWY-6325	
PWY-7638	
PWY-7650	
PWY-7652	
PWY-7735	
P101-PWY	
PWY-7855	
PWY-7951	
PWY-7483	
PWY-7135	
PWY-8166	
PWY-6653	
PWY-5032	PWY-5053 // PWY-6887
ECASYN-PWY	PWY-8227
ENTBACSYN-PWY	ALL-CHORISMATE-PWY
PWY-8004	
NPGLUCAT-PWY	
PWY-2221	
ENTNER-DOUDOROFF-PWY	PWY-8004 // GLYCOLYSIS-E-D
PWY-5883	
PWY-8031	
PWY-5882	
PWY-5670	PWY-7156 // ERGOSTEROL-SYN-PWY // PWY66-4 // PWY66-3 // PWY66-341
PWY-7669	
PWY-6075	ERGOSTEROL-SYN-PWY
PWY-7154	PWY-7156
PWY-6495	PWY-6503
PWY-7255	
PWY-7550	
PWY-7188	
PWY-7789	
PWY-7788	
PWY-5663	
PWY-7108	PWY-6975
PWY-7106	PWY-7110 // PWY-6975
PWY-7530	
PWY-8219	
PWY-8221	
PWY-8220	
PWY-8231	
PWY-8222	
PWY-8253	
PWY-8209	
PWY-8226	
PWY-8224	
PWY-8233	
PWY-8244	
PWY-8234	
PWY-8237	
PWY-8251	
PWY-8235	
PWY-8272	
PWY-8252	
PWY-8242	
PWY-8257	
PWY-8217	
PWY-8218	
PWY-8211	
PWY-8241	
PWY-8205	
PWY-8212	
PWY-8207	
PWY-7290	
PWY-8250	
PWY-7905	
PWY-5349	
PWY-7058	
PWY-7120	
PWY66-380	PWY-7305
PWY-7306	PWY-7305
PWY-6043	
